id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1531468200847736838,1531468200847736838,2022-05-30 21:50:47 CDT,2022-05-30,21:50:47,-0500,44196397,elonmusk,Elon Musk,,Literally …  https://t.co/DWKI71Wk9Z,en,[],[],['https://pbs.twimg.com/media/FUDeNQBWYAEuFyB.jpg'],2718,6201,53817,[],[],https://twitter.com/elonmusk/status/1531468200847736838,False,,1,https://pbs.twimg.com/media/FUDeNQBWYAEuFyB.jpg,,,,,,,[],,,,
1531458737340354563,1531458737340354563,2022-05-30 21:13:10 CDT,2022-05-30,21:13:10,-0500,44196397,elonmusk,Elon Musk,,I just stop hitting myself!  https://t.co/klyNHG8dav,en,[],[],['https://pbs.twimg.com/media/FUDVmTAXwAMNodL.jpg'],3263,2628,28805,[],[],https://twitter.com/elonmusk/status/1531458737340354563,False,,1,https://pbs.twimg.com/media/FUDVmTAXwAMNodL.jpg,,,,,,,[],,,,
1531435945001725952,1531383309363580928,2022-05-30 19:42:36 CDT,2022-05-30,19:42:36,-0500,44196397,elonmusk,Elon Musk,,@npew Our computer is made of meat!  https://t.co/0NC0e7TSld,en,[],['https://www.mit.edu/people/dpolicar/writing/prose/text/thinkingMeat.html'],[],565,273,3852,[],[],https://twitter.com/elonmusk/status/1531435945001725952,False,,0,,,,,,,,"[{'screen_name': 'npew', 'name': 'Peter Welinder', 'id': '134318947'}]",,,,
1531435368846860288,1531279278624612352,2022-05-30 19:40:19 CDT,2022-05-30,19:40:19,-0500,44196397,elonmusk,Elon Musk,,@spideycyp_155 It might be,en,[],[],[],202,100,1315,[],[],https://twitter.com/elonmusk/status/1531435368846860288,False,,0,,,,,,,,"[{'screen_name': 'spideycyp_155', 'name': 'Spidey_ElonFan', 'id': '1492510878323081216'}]",,,,
1531435270960201728,1531432872477102081,2022-05-30 19:39:55 CDT,2022-05-30,19:39:55,-0500,44196397,elonmusk,Elon Musk,,"@hiromichimizuno Tesla doesn’t advertise, the others do. They are … hesitant to bite the hand that feeds them.",en,[],[],[],372,514,6752,[],[],https://twitter.com/elonmusk/status/1531435270960201728,False,,0,,,,,,,,"[{'screen_name': 'hiromichimizuno', 'name': 'HIRO MIZUNO', 'id': '72862939'}]",,,,
1531352393673318401,1531352393673318401,2022-05-30 14:10:36 CDT,2022-05-30,14:10:36,-0500,44196397,elonmusk,Elon Musk,,Tesla Plaid S cruising around Austin with volume at 11 is sublime,en,[],[],[],5078,2824,56537,[],[],https://twitter.com/elonmusk/status/1531352393673318401,False,,0,,,,,,,,[],,,,
1531352163691204610,1531352163691204610,2022-05-30 14:09:41 CDT,2022-05-30,14:09:41,-0500,44196397,elonmusk,Elon Musk,,Veridis Quo,en,[],[],[],4566,2890,41016,[],[],https://twitter.com/elonmusk/status/1531352163691204610,False,,0,,,,,,,,[],,,,
1531342822208684032,1531197699453767682,2022-05-30 13:32:34 CDT,2022-05-30,13:32:34,-0500,44196397,elonmusk,Elon Musk,,@BLKMDL3 @HardDriveMag Tomorrow,en,[],[],[],394,125,1740,[],[],https://twitter.com/elonmusk/status/1531342822208684032,False,,0,,,,,,,,"[{'screen_name': 'BLKMDL3', 'name': 'Zack', 'id': '988975103785365504'}, {'screen_name': 'HardDriveMag', 'name': 'Hard Drive', 'id': '867929010877190144'}]",,,,
1531341817484042243,1531197699453767682,2022-05-30 13:28:34 CDT,2022-05-30,13:28:34,-0500,44196397,elonmusk,Elon Musk,,"@James76931 @HardDriveMag Mildly, so 6/10. It’s a slow meme day.",en,[],[],[],266,78,1568,[],[],https://twitter.com/elonmusk/status/1531341817484042243,False,,0,,,,,,,,"[{'screen_name': 'James76931', 'name': 'James', 'id': '2324006088'}, {'screen_name': 'HardDriveMag', 'name': 'Hard Drive', 'id': '867929010877190144'}]",,,,
1531340568353247239,1531197699453767682,2022-05-30 13:23:37 CDT,2022-05-30,13:23:37,-0500,44196397,elonmusk,Elon Musk,,"@Shruggernauts @HardDriveMag @kevinpodas I would, but the coward blocked me 🤣  https://t.co/CiZXNxgpaP",en,[],[],['https://pbs.twimg.com/media/FUBqIRGX0AMi6St.jpg'],272,131,2316,[],[],https://twitter.com/elonmusk/status/1531340568353247239,False,,1,https://pbs.twimg.com/media/FUBqIRGX0AMi6St.jpg,,,,,,,"[{'screen_name': 'Shruggernauts', 'name': '🤷Shruggernaut🤷\u200d♂️', 'id': '747993482334187521'}, {'screen_name': 'HardDriveMag', 'name': 'Hard Drive', 'id': '867929010877190144'}, {'screen_name': 'kevinpodas', 'name': 'Kevin “NuNoЯmal” Podas', 'id': '91959362'}]",,,,
1531339927430090752,1531339927430090752,2022-05-30 13:21:04 CDT,2022-05-30,13:21:04,-0500,44196397,elonmusk,Elon Musk,,I miss them  https://t.co/nTZkFM1D3k,en,[],[],['https://pbs.twimg.com/media/FUBpi3sWIAIPvTa.jpg'],8102,18393,277249,[],[],https://twitter.com/elonmusk/status/1531339927430090752,False,,1,https://pbs.twimg.com/media/FUBpi3sWIAIPvTa.jpg,,,,,,,[],,,,
